Instance,UB,LB
VFR100_40_2_Gap,8007,6738
VFR100_40_3_Gap,7935,6698
VFR100_40_4_Gap,7932,6715
VFR100_40_5_Gap,8011,6778
VFR100_40_6_Gap,8023,6816
VFR100_40_7_Gap,8006,6793
VFR100_40_8_Gap,7979,6807
VFR100_40_9_Gap,7931,6758
VFR100_60_1_Gap,9395,7502
VFR100_60_10_Gap,9598,7774
VFR100_60_2_Gap,9596,7720
VFR100_60_3_Gap,9349,7523
VFR100_60_4_Gap,9426,7596
VFR100_60_5_Gap,9465,7638
VFR100_60_6_Gap,9667,7809
VFR100_60_7_Gap,9391,7576
VFR100_60_8_Gap,9534,7697
VFR100_60_9_Gap,9527,7706
VFR200_20_1_Gap,11305,10928
VFR200_20_10_Gap,11310,10965
VFR200_20_2_Gap,11265,10898
VFR200_20_3_Gap,11327,10958
VFR200_20_4_Gap,11208,10857
VFR200_20_5_Gap,11208,10861
VFR200_20_6_Gap,11367,10981
VFR200_20_7_Gap,11380,11034
VFR200_20_8_Gap,11141,10783
VFR200_20_9_Gap,11123,10773
VFR200_40_1_Gap,13132,11812
VFR200_40_10_Gap,13228,11921
VFR200_40_2_Gap,13102,11735
VFR200_40_3_Gap,13264,11879
VFR200_40_4_Gap,13232,11862
VFR200_40_5_Gap,13043,11662
VFR200_40_6_Gap,13124,11788
VFR200_40_7_Gap,13299,11926
VFR200_40_8_Gap,13238,11864
VFR200_40_9_Gap,13166,11817
VFR200_60_1_Gap,14990,12824
VFR200_60_10_Gap,15000,12892
VFR200_60_2_Gap,14954,12862
VFR200_60_3_Gap,15200,12996
VFR200_60_4_Gap,15044,12925
VFR200_60_5_Gap,15130,13012
VFR200_60_6_Gap,15035,12952
VFR200_60_7_Gap,15040,12958
VFR200_60_8_Gap,14968,12947
VFR200_60_9_Gap,15022,12878
VFR300_20_1_Gap,16149,15773
VFR300_20_10_Gap,16899,16517
VFR300_20_2_Gap,16512,16123
VFR300_20_3_Gap,16173,15835
VFR300_20_4_Gap,16181,15860
VFR300_20_5_Gap,16342,15987
VFR300_20_6_Gap,16137,15804
VFR300_20_7_Gap,16266,15932
VFR300_20_8_Gap,16416,16093
VFR300_20_9_Gap,16376,16059
VFR300_40_1_Gap,18298,16764
VFR300_40_10_Gap,18401,17007
VFR300_40_2_Gap,18454,17015
VFR300_40_3_Gap,18457,16983
VFR300_40_4_Gap,18351,16914
VFR300_40_5_Gap,18484,17070
VFR300_40_6_Gap,18449,16978
VFR300_40_7_Gap,18419,17049
VFR300_40_8_Gap,18392,16927
VFR300_40_9_Gap,18394,16987
VFR300_60_1_Gap,20522,17876
VFR300_60_10_Gap,20472,17937
VFR300_60_2_Gap,20399,17750
VFR300_60_3_Gap,20434,17894
VFR300_60_4_Gap,20395,17837
VFR300_60_5_Gap,20341,17791
VFR300_60_6_Gap,20388,17814
VFR300_60_7_Gap,20457,17935
VFR300_60_8_Gap,20410,17918
VFR300_60_9_Gap,20549,18000
VFR400_20_1_Gap,21120,20727
VFR400_20_10_Gap,21538,21235
VFR400_20_2_Gap,21457,21092
VFR400_20_3_Gap,21441,21133
VFR400_20_4_Gap,21247,20942
VFR400_20_5_Gap,21553,21203
VFR400_20_6_Gap,21214,20944
VFR400_20_7_Gap,21625,21331
VFR400_20_8_Gap,21277,21029
VFR400_20_9_Gap,21346,21059
VFR400_40_1_Gap,23578,22002
VFR400_40_10_Gap,23720,22257
VFR400_40_2_Gap,23456,21903
VFR400_40_3_Gap,23575,22099
VFR400_40_4_Gap,23409,21897
VFR400_40_5_Gap,23339,21843
VFR400_40_6_Gap,23444,22011
VFR400_40_7_Gap,23556,22078
VFR400_40_8_Gap,23411,21921
VFR400_40_9_Gap,23637,22109
VFR400_60_1_Gap,25607,22867
VFR400_60_10_Gap,25767,23104
VFR400_60_2_Gap,25656,22869
VFR400_60_3_Gap,25821,23079
VFR400_60_4_Gap,25837,23097
VFR400_60_5_Gap,25877,23077
VFR400_60_6_Gap,25536,22802
VFR400_60_7_Gap,25600,22868
VFR400_60_8_Gap,25800,23058
VFR400_60_9_Gap,25882,23108
VFR500_20_1_Gap,26411,26071
VFR500_20_10_Gap,26072,25838
VFR500_20_2_Gap,26681,26358
VFR500_20_3_Gap,26409,26116
VFR500_20_4_Gap,26124,25844
VFR500_20_5_Gap,26781,26505
VFR500_20_6_Gap,26443,26152
VFR500_20_7_Gap,26433,26163
VFR500_20_8_Gap,26318,26062
VFR500_20_9_Gap,26442,26199
VFR500_40_1_Gap,28548,26940
VFR500_40_10_Gap,28758,27225
VFR500_40_2_Gap,28793,27162
VFR500_40_3_Gap,28607,27064
VFR500_40_4_Gap,28828,27231
VFR500_40_5_Gap,28683,27109
VFR500_40_6_Gap,28524,26903
VFR500_40_7_Gap,28760,27162
VFR500_40_8_Gap,28698,27215
VFR500_40_9_Gap,28870,27298
VFR500_60_1_Gap,30861,27846
VFR500_60_10_Gap,31050,28190
VFR500_60_2_Gap,30828,27819
VFR500_60_3_Gap,31125,28045
VFR500_60_4_Gap,30928,28054
VFR500_60_5_Gap,30935,27936
VFR500_60_6_Gap,31027,28091
VFR500_60_7_Gap,30928,27962
VFR500_60_8_Gap,30988,28089
VFR500_60_9_Gap,30978,28098
VFR600_20_1_Gap,31433,31124
VFR600_20_10_Gap,31130,30885
VFR600_20_2_Gap,31418,31124
VFR600_20_3_Gap,31429,31186
VFR600_20_4_Gap,31547,31254
VFR600_20_5_Gap,31448,31204
VFR600_20_6_Gap,31717,31470
VFR600_20_7_Gap,31527,31254
VFR600_20_8_Gap,31564,31299
VFR600_20_9_Gap,31577,31320
VFR600_40_1_Gap,33839,32219
VFR600_40_10_Gap,33642,32235
VFR600_40_2_Gap,33467,31978
VFR600_40_3_Gap,33866,32316
VFR600_40_4_Gap,33693,32162
VFR600_40_5_Gap,33553,32071
VFR600_40_6_Gap,33809,32290
VFR600_40_7_Gap,33686,32203
VFR600_40_8_Gap,33482,32039
VFR600_40_9_Gap,33697,32228
VFR600_60_1_Gap,36198,33093
VFR600_60_10_Gap,36163,33177
VFR600_60_2_Gap,36184,33108
VFR600_60_3_Gap,36201,33159
VFR600_60_4_Gap,36136,33225
VFR600_60_5_Gap,36153,33093
VFR600_60_6_Gap,36116,33093
VFR600_60_7_Gap,36179,33215
VFR600_60_8_Gap,36185,33206
VFR600_60_9_Gap,36195,33273
VFR700_20_1_Gap,36394,36078
VFR700_20_10_Gap,36417,36282
VFR700_20_2_Gap,36337,36032
VFR700_20_3_Gap,36568,36287
VFR700_20_4_Gap,36452,36188
VFR700_20_5_Gap,36584,36380
VFR700_20_6_Gap,36671,36376
VFR700_20_7_Gap,36624,36381
VFR700_20_8_Gap,36522,36287
VFR700_20_9_Gap,36329,36091
VFR700_40_1_Gap,38964,37286
VFR700_40_10_Gap,38850,37419
VFR700_40_2_Gap,38775,37211
VFR700_40_3_Gap,38621,37080
VFR700_40_4_Gap,38785,37232
VFR700_40_5_Gap,38671,37125
VFR700_40_6_Gap,38710,37186
VFR700_40_7_Gap,38585,36959
VFR700_40_8_Gap,39059,37508
VFR700_40_9_Gap,38814,37261
VFR700_60_1_Gap,41436,38230
VFR700_60_10_Gap,41377,38368
VFR700_60_2_Gap,41375,38173
VFR700_60_3_Gap,41317,38127
VFR700_60_4_Gap,41401,38287
VFR700_60_5_Gap,41262,38212
VFR700_60_6_Gap,41340,38305
VFR700_60_7_Gap,40876,37882
VFR700_60_8_Gap,41474,38427
VFR700_60_9_Gap,41291,38212
VFR800_20_1_Gap,41558,41256
VFR800_20_10_Gap,41574,41331
VFR800_20_2_Gap,41407,41145
VFR800_20_3_Gap,41425,41159
VFR800_20_4_Gap,41426,41157
VFR800_20_5_Gap,41710,41457
VFR800_20_6_Gap,42010,41795
VFR800_20_7_Gap,41425,41138
VFR800_20_8_Gap,41492,41241
VFR800_20_9_Gap,41796,41517
VFR800_40_1_Gap,43671,42144
VFR800_40_10_Gap,43861,42335
VFR800_40_2_Gap,43746,42197
VFR800_40_3_Gap,43749,42180
VFR800_40_4_Gap,43892,42360
VFR800_40_5_Gap,43905,42473
VFR800_40_6_Gap,43811,42258
VFR800_40_7_Gap,43766,42242
VFR800_40_8_Gap,43839,42362
VFR800_40_9_Gap,43879,42341
VFR800_60_1_Gap,46470,43230
VFR800_60_10_Gap,46244,43236
VFR800_60_2_Gap,46493,43189
VFR800_60_3_Gap,46389,43271
VFR800_60_4_Gap,46457,43274
VFR800_60_5_Gap,46401,43319
VFR800_60_6_Gap,46421,43210
VFR800_60_7_Gap,46319,43207
VFR800_60_8_Gap,46474,43358
VFR800_60_9_Gap,46538,43406
